id,gid,x,y,v_x,v_y,radius,time
0,0,7.883722,0.000135,-1.162778,0.001355,0.500000,0.100000
1,1,5.616256,5.618948,-0.405940,-0.379020,0.500000,0.100000
2,2,0.002527,7.957148,0.025275,-0.428522,0.500000,0.100000
3,3,-5.615607,5.613769,0.412430,-0.430809,0.500000,0.100000
4,4,-7.940816,-0.003973,0.591836,-0.039719,0.500000,0.100000
5,5,-5.644699,-5.647202,0.121513,0.096580,0.500000,0.100000
6,6,-0.000004,-7.900911,-0.000041,0.990891,0.500000,0.100000
7,7,5.613042,-5.616643,-0.438184,0.402068,0.500000,0.100000
0,0,7.765629,-0.000382,-1.180934,-0.005174,0.500000,0.200000
1,1,5.575464,5.579497,-0.407916,-0.394506,0.500000,0.200000
2,2,-0.005192,7.875329,-0.077187,-0.818187,0.500000,0.200000
3,3,-5.566360,5.563338,0.492468,-0.504315,0.500000,0.200000
4,4,-7.856859,-0.003296,0.839574,0.006768,0.500000,0.200000
5,5,-5.614275,-5.612364,0.304242,0.348381,0.500000,0.200000
6,6,-0.012727,-7.770049,-0.127226,1.308620,0.500000,0.200000
7,7,5.557855,-5.562016,-0.551865,0.546271,0.500000,0.200000
0,0,7.637841,-0.002010,-1.277883,-0.016280,0.500000,0.300000
1,1,5.533608,5.546311,-0.418562,-0.331860,0.500000,0.300000
2,2,-0.006086,7.750236,-0.008941,-1.250930,0.500000,0.300000
3,3,-5.473851,5.472656,0.925092,-0.906814,0.500000,0.300000
4,4,-7.754041,0.001082,1.028180,0.043773,0.500000,0.300000
5,5,-5.565217,-5.569371,0.490572,0.429926,0.500000,0.300000
6,6,-0.015870,-7.627498,-0.031430,1.425508,0.500000,0.300000
7,7,5.487955,-5.496114,-0.699000,0.659019,0.500000,0.300000
0,0,7.507387,0.006822,-1.304535,0.088322,0.500000,0.400000
1,1,5.475522,5.497190,-0.580856,-0.491212,0.500000,0.400000
2,2,-0.012776,7.638610,-0.066904,-1.116256,0.500000,0.400000
3,3,-5.389086,5.363608,0.847650,-1.090485,0.500000,0.400000
