id,gid,x,y,v_x,v_y,radius,time
0,0,7.993437,0.000002,-0.131269,0.000042,0.500000,0.050000
1,1,5.652748,5.652748,-0.082035,-0.082036,0.500000,0.050000
2,2,0.000002,7.993178,0.000038,-0.136443,0.500000,0.050000
3,3,-5.652172,5.652173,0.093563,-0.093541,0.500000,0.050000
4,4,-7.994094,0.000001,0.118123,0.000028,0.500000,0.050000
5,5,-5.652080,-5.652093,0.095396,0.095333,0.500000,0.050000
6,6,0.000000,-7.993084,0.000000,0.138326,0.500000,0.050000
7,7,5.652674,-5.652660,-0.083721,0.083796,0.500000,0.050000
0,0,7.980966,0.000006,-0.249411,0.000081,0.500000,0.100000
1,1,5.644955,5.644955,-0.155867,-0.155869,0.500000,0.100000
2,2,0.000005,7.980216,0.000072,-0.259242,0.500000,0.100000
3,3,-5.643283,5.643287,0.177769,-0.177727,0.500000,0.100000
4,4,-7.982872,0.000003,0.224434,0.000053,0.500000,0.100000
5,5,-5.643018,-5.643037,0.181253,0.181133,0.500000,0.100000
6,6,0.000000,-7.979943,0.000000,0.262819,0.500000,0.100000
7,7,5.644720,-5.644700,-0.159070,0.159211,0.500000,0.100000
0,0,7.963179,0.000012,-0.355739,0.000115,0.500000,0.150000
1,1,5.633839,5.633839,-0.222315,-0.222318,0.500000,0.150000
2,2,0.000010,7.961728,0.000102,-0.369761,0.500000,0.150000
3,3,-5.630606,5.630612,0.253555,-0.253495,0.500000,0.150000
4,4,-7.966866,0.000007,0.320113,0.000076,0.500000,0.150000
5,5,-5.630091,-5.630119,0.258523,0.258353,0.500000,0.150000
6,6,0.000000,-7.961200,-0.000000,0.374863,0.500000,0.150000
7,7,5.633376,-5.633345,-0.226884,0.227086,0.500000,0.150000
0,0,7.940607,0.000019,-0.451431,0.000142,0.500000,0.200000
1,1,5.619733,5.619733,-0.282116,-0.282125,0.500000,0.200000
2,2,0.000017,7.938266,0.000138,-0.469226,0.500000,0.200000
3,3,-5.614518,5.614528,0.321762,-0.321686,0.500000,0.200000
4,4,-7.946555,0.000012,0.406225,0.000096,0.500000,0.200000
5,5,-5.613688,-5.613726,0.328064,0.327851,0.500000,0.200000
6,6,0.000000,-7.937414,-0.000001,0.475702,0.500000,0.200000
7,7,5.618981,-5.618937,-0.287908,0.288172,0.500000,0.200000
0,0,7.913730,0.000028,-0.537555,0.000171,0.500000,0.250000
1,1,5.602936,5.602935,-0.335939,-0.335949,0.500000,0.250000
2,2,0.000025,7.910329,0.000151,-0.558748,0.500000,0.250000
3,3,-5.595360,5.595375,0.383149,-0.383058,0.500000,0.250000
4,4,-7.922369,0.000017,0.483719,0.000104,0.500000,0.250000
5,5,-5.594156,-5.594207,0.390647,0.390395,0.500000,0.250000
6,6,-0.000000,-7.909092,-0.000009,0.566454,0.500000,0.250000
7,7,5.601839,-5.601779,-0.342837,0.343147,0.500000,0.250000
0,0,7.882977,0.000037,-0.615063,0.000182,0.500000,0.300000
1,1,5.583717,5.583716,-0.384382,-0.384385,0.500000,0.300000
2,2,0.000035,7.878364,0.000207,-0.639302,0.500000,0.300000
3,3,-5.573441,5.573460,0.438379,-0.438292,0.500000,0.300000
4,4,-7.894696,0.000023,0.553470,0.000122,0.500000,0.300000
5,5,-5.571806,-5.571873,0.447002,0.446673,0.500000,0.300000
6,6,0.000001,-7.876685,0.000023,0.648131,0.500000,0.300000
7,7,5.582225,-5.582148,-0.392274,0.392628,0.500000,0.300000
0,0,7.848735,0.000047,-0.684826,0.000207,0.500000,0.350000
1,1,5.562318,5.562317,-0.427982,-0.427973,0.500000,0.350000
2,2,0.000045,7.842773,0.000191,-0.711818,0.500000,0.350000
3,3,-5.549038,5.549062,0.488072,-0.487961,0.500000,0.350000
4,4,-7.863884,0.000030,0.616246,0.000137,0.500000,0.350000
5,5,-5.546921,-5.547007,0.497703,0.497327,0.500000,0.350000
6,6,0.000001,-7.840603,-0.000001,0.721638,0.500000,0.350000
7,7,5.560387,-5.560290,-0.436768,0.437153,0.500000,0.350000
0,0,7.811355,0.000058,-0.747612,0.000229,0.500000,0.400000
1,1,5.538957,5.538957,-0.467219,-0.467212,0.500000,0.400000
2,2,0.000053,7.803919,0.000165,-0.777077,0.500000,0.400000
3,3,-5.522399,5.522426,0.532780,-0.532715,0.500000,0.400000
4,4,-7.830247,0.000035,0.672722,0.000100,0.500000,0.400000
