id,gid,x,y,v_x,v_y,radius,time
0,0,10.155650,0.359201,-0.209002,0.081931,0.200000,0.050000
1,0,12.532574,0.594393,-0.316525,0.057328,0.200000,0.050000
2,0,7.328148,-0.129611,0.122153,-0.152608,0.200000,0.050000
3,0,6.789955,-0.865378,-0.291693,-0.500000,0.200000,0.050000
4,0,8.836850,0.718645,0.036006,0.372652,0.200000,0.050000
5,0,5.248660,0.509603,0.500000,-0.500000,0.200000,0.050000
6,0,13.700362,-1.064701,0.097237,-0.297412,0.200000,0.050000
7,0,10.859989,-0.174684,-0.000222,-0.096782,0.200000,0.050000
8,0,13.296914,-0.524751,-0.319710,0.253806,0.200000,0.050000
9,0,8.018611,-0.234824,-0.218772,-0.284005,0.200000,0.050000
10,0,6.888300,0.244538,0.500000,0.500000,0.200000,0.050000
11,0,14.758579,-0.689616,-0.046425,0.032647,0.200000,0.050000
12,0,13.384900,0.570504,-0.500000,-0.500000,0.200000,0.050000
13,0,8.530757,0.129027,0.089145,-0.055172,0.200000,0.050000
14,0,6.788478,-0.389901,-0.477233,0.500000,0.200000,0.050000
15,0,13.637100,1.045840,0.500000,0.500000,0.200000,0.050000
16,0,6.420660,0.024987,-0.500000,-0.500000,0.200000,0.050000
17,0,6.768903,0.902125,-0.210337,0.384569,0.200000,0.050000
18,0,9.488483,-0.441542,-0.198947,-0.078011,0.200000,0.050000
19,0,7.357290,-0.852128,0.500000,-0.254751,0.200000,0.050000
20,1,7.300207,7.710150,0.002748,-0.064196,0.200000,0.050000
21,1,8.367649,-4.203256,0.030985,-0.162112,0.200000,0.050000
22,1,7.110548,2.328663,-0.020849,-0.147743,0.200000,0.050000
23,1,9.089855,-3.083367,0.030509,-0.133540,0.200000,0.050000
24,1,5.311254,5.479474,0.022273,-0.209924,0.200000,0.050000
25,1,8.411833,-2.035479,-0.020746,-0.125980,0.200000,0.050000
26,1,6.820712,6.558630,-0.025161,-0.193597,0.200000,0.050000
27,1,5.178084,1.247722,0.221282,0.489845,0.200000,0.050000
28,1,4.807363,3.020207,-0.043732,-0.051251,0.200000,0.050000
29,1,4.787470,0.734054,-0.500000,0.500000,0.200000,0.050000
30,1,7.599406,3.441575,-0.074484,-0.106297,0.200000,0.050000
31,1,7.270899,-4.352074,-0.098218,-0.142470,0.200000,0.050000
32,1,5.645440,2.238204,0.014191,-0.029111,0.200000,0.050000
33,1,7.975094,5.359513,-0.044514,-0.091936,0.200000,0.050000
34,1,4.926756,6.633343,-0.007272,-0.059133,0.200000,0.050000
35,1,9.203396,3.776312,0.381321,-0.167364,0.200000,0.050000
36,1,6.197684,4.200758,0.023886,-0.151246,0.200000,0.050000
37,1,8.538695,3.860924,-0.280505,-0.034126,0.200000,0.050000
38,1,9.142743,4.633126,0.028651,0.025317,0.200000,0.050000
39,1,6.797658,8.865046,-0.025039,-0.069086,0.200000,0.050000
0,0,10.141711,0.365355,-0.278769,0.123083,0.200000,0.100000
1,0,12.509306,0.601537,-0.465360,0.142874,0.200000,0.100000
2,0,7.309255,-0.127194,-0.377847,0.048348,0.200000,0.100000
3,0,6.773085,-0.889543,-0.337398,-0.483301,0.200000,0.100000
4,0,8.836245,0.735965,-0.012099,0.346400,0.200000,0.100000
5,0,5.248660,0.497784,0.000000,-0.236384,0.200000,0.100000
6,0,13.698248,-1.077715,-0.042276,-0.260281,0.200000,0.100000
